year,driver_num,driver_id,circuit,lap,position,net_gain
2019,16,leclerc,bahrain,52.0,2.0,227.62138888889137
2019,16,leclerc,bahrain,53.0,2.0,-756.8561111111053
2019,16,leclerc,bahrain,54.0,3.0,-1053.7299999999977
2019,16,leclerc,bahrain,55.0,3.0,-31.093333333335863
2019,16,leclerc,bahrain,56.0,3.0,31.861388888889337
2019,16,leclerc,bahrain,57.0,3.0,-193.79138888889014
2019,33,max_verstappen,bahrain,1.0,5.0,82.43333333333794
2019,33,max_verstappen,bahrain,2.0,5.0,-29.891944444442743
2019,33,max_verstappen,bahrain,3.0,5.0,56.696111111107726
2019,33,max_verstappen,bahrain,4.0,5.0,18.71583333332758
2019,33,max_verstappen,bahrain,5.0,5.0,2.4155555555581714
2019,33,max_verstappen,bahrain,6.0,5.0,37.55222222222483
2019,33,max_verstappen,bahrain,7.0,5.0,11.327500000003397
2019,33,max_verstappen,bahrain,8.0,5.0,-3.637777777777785
2019,33,max_verstappen,bahrain,9.0,5.0,11.702222222218268
2019,33,max_verstappen,bahrain,10.0,5.0,-12.055555555557703
2019,33,max_verstappen,bahrain,11.0,5.0,200.94666666666228
2019,33,max_verstappen,bahrain,12.0,8.0,-296.046666666654
2019,33,max_verstappen,bahrain,13.0,5.0,372.7716666666696
2019,33,max_verstappen,bahrain,14.0,6.0,-247.70361111109725
2019,33,max_verstappen,bahrain,15.0,6.0,35.223611111111765
2019,33,max_verstappen,bahrain,16.0,6.0,20.127777777776473
2019,33,max_verstappen,bahrain,17.0,6.0,-4.068611111106179
2019,33,max_verstappen,bahrain,18.0,5.0,12.606111111111716
2019,33,max_verstappen,bahrain,19.0,5.0,14.744166666667468
2019,33,max_verstappen,bahrain,20.0,5.0,51.4977777777745
2019,33,max_verstappen,bahrain,21.0,5.0,1.1530555555555964
2019,33,max_verstappen,bahrain,22.0,5.0,39.78805555555704
2019,33,max_verstappen,bahrain,23.0,5.0,41.95722222222173
2019,33,max_verstappen,bahrain,24.0,5.0,38.723888888885426
2019,33,max_verstappen,bahrain,25.0,5.0,18.69916666666387
2019,33,max_verstappen,bahrain,26.0,5.0,10.615555555553954
2019,33,max_verstappen,bahrain,27.0,5.0,31.568055555558885
2019,33,max_verstappen,bahrain,28.0,5.0,-9.35111111111587
2019,33,max_verstappen,bahrain,29.0,5.0,47.77277777778005
2019,33,max_verstappen,bahrain,30.0,5.0,81.29555555555783
2019,33,max_verstappen,bahrain,31.0,5.0,75.56361111110766
2019,33,max_verstappen,bahrain,32.0,5.0,-526.0352777777763
2019,33,max_verstappen,bahrain,33.0,6.0,188.12249999999096
2019,33,max_verstappen,bahrain,34.0,5.0,1081.1086111111154
2019,33,max_verstappen,bahrain,35.0,5.0,178.58472222221644
2019,33,max_verstappen,bahrain,36.0,5.0,158.91777777778816
2019,33,max_verstappen,bahrain,37.0,5.0,-1117.863055555554
2019,33,max_verstappen,bahrain,38.0,5.0,-439.76083333333384
2019,33,max_verstappen,bahrain,39.0,4.0,63.44916666666916
2019,33,max_verstappen,bahrain,40.0,4.0,27.69527777777853
2019,33,max_verstappen,bahrain,41.0,4.0,20.451944444450533
2019,33,max_verstappen,bahrain,42.0,4.0,147.56972222222737
2019,33,max_verstappen,bahrain,43.0,4.0,-167.7400000000057
2019,33,max_verstappen,bahrain,44.0,4.0,-10.493611111103235
2019,33,max_verstappen,bahrain,45.0,4.0,-8.312777777780752
2019,33,max_verstappen,bahrain,46.0,4.0,22.413888888886447
2019,33,max_verstappen,bahrain,47.0,4.0,1.7108333333331984
2019,33,max_verstappen,bahrain,48.0,4.0,36.353333333330966
2019,33,max_verstappen,bahrain,49.0,4.0,96.32499999999447
2019,33,max_verstappen,bahrain,50.0,4.0,44.519166666663125
2019,33,max_verstappen,bahrain,51.0,4.0,27.2555555555507
2019,33,max_verstappen,bahrain,52.0,4.0,25.970833333342057
2019,33,max_verstappen,bahrain,53.0,4.0,-33.026944444451715
2019,33,max_verstappen,bahrain,54.0,4.0,-277.4216666666654
2019,33,max_verstappen,bahrain,55.0,4.0,-29.308333333336435
2019,33,max_verstappen,bahrain,56.0,4.0,-35.46361111112412
2019,33,max_verstappen,bahrain,57.0,4.0,-73.85749999999015
2019,5,vettel,bahrain,1.0,1.0,0.09888888888895053
2019,5,vettel,bahrain,2.0,1.0,
2019,5,vettel,bahrain,3.0,1.0,
2019,5,vettel,bahrain,4.0,1.0,
2019,5,vettel,bahrain,5.0,1.0,
2019,5,vettel,bahrain,6.0,2.0,108.84861111110956
2019,5,vettel,bahrain,7.0,2.0,35.70666666667222
2019,5,vettel,bahrain,8.0,2.0,-4.210555555560177
2019,5,vettel,bahrain,9.0,2.0,19.268611111111525
