year,driver_num,driver_id,circuit,lap,position,gap_ahead,net_gain
2018,5,vettel,monza,37.0,7.0,76.0225000000064,-197.3763888888825
2018,5,vettel,monza,38.0,5.0,959.0733333333355,874.2147222222245
2018,5,vettel,monza,39.0,5.0,984.2819444444503,77.78972222222785
2018,5,vettel,monza,40.0,5.0,965.8369444444443,42.73666666666634
2018,5,vettel,monza,41.0,5.0,978.0819444444442,47.16916666666623
2018,5,vettel,monza,42.0,5.0,957.1608333333406,29.310000000007335
2018,5,vettel,monza,43.0,5.0,777.7102777777782,-130.33722222222184
2018,5,vettel,monza,44.0,5.0,794.6255555555508,-9.77055555556035
2018,5,vettel,monza,45.0,5.0,789.4066666666704,-3.3549999999962665
2018,5,vettel,monza,46.0,5.0,788.8875000000062,-4.7505555555495675
2018,5,vettel,monza,47.0,5.0,733.1797222222276,-64.95583333332797
2018,5,vettel,monza,48.0,5.0,630.5613888888865,-112.15694444444648
2018,5,vettel,monza,49.0,5.0,514.2830555555602,-135.66277777777316
2018,5,vettel,monza,50.0,5.0,471.6205555555598,-58.92305555555129
2018,5,vettel,monza,51.0,5.0,348.7674999999981,-137.68694444444628
2018,5,vettel,monza,52.0,5.0,302.0297222222234,-67.454722222221
2018,5,vettel,monza,53.0,5.0,158.15694444444307,-165.9858333333347
2018,33,max_verstappen,monza,1.0,4.0,28.073888888887268,28.073888888887268
2018,33,max_verstappen,monza,2.0,3.0,59.59777777778345,29.566944444450126
2018,33,max_verstappen,monza,3.0,3.0,45.39333333333434,-32.40944444444345
2018,33,max_verstappen,monza,4.0,3.0,96.38944444444314,38.02305555555425
2018,33,max_verstappen,monza,5.0,3.0,145.28916666666464,39.273333333331294
2018,33,max_verstappen,monza,6.0,3.0,206.37527777777723,46.74444444444393
2018,33,max_verstappen,monza,7.0,3.0,238.17861111111233,18.986944444445697
2018,33,max_verstappen,monza,8.0,3.0,280.8499999999958,28.105277777773665
2018,33,max_verstappen,monza,9.0,3.0,350.0836111111057,55.452777777772326
2018,33,max_verstappen,monza,10.0,3.0,360.90666666665857,-7.773611111119237
2018,33,max_verstappen,monza,11.0,3.0,401.3655555555524,23.82027777777455
2018,33,max_verstappen,monza,12.0,3.0,438.5208333333312,13.53638888888679
2018,33,max_verstappen,monza,13.0,3.0,483.9497222222235,25.056944444445776
2018,33,max_verstappen,monza,14.0,3.0,524.8705555555498,21.78888888888298
2018,33,max_verstappen,monza,15.0,3.0,560.9136111111138,15.90277777778033
2018,33,max_verstappen,monza,16.0,3.0,588.8836111111132,11.733055555557598
2018,33,max_verstappen,monza,17.0,3.0,627.9630555555577,19.52861111111315
2018,33,max_verstappen,monza,18.0,3.0,641.2144444444348,-10.5075000000096
2018,33,max_verstappen,monza,19.0,3.0,706.1505555555505,45.43222222221709
2018,33,max_verstappen,monza,20.0,3.0,769.4694444444413,54.6299999999967
2018,33,max_verstappen,monza,21.0,2.0,858.9311111111119,81.19833333333418
2018,33,max_verstappen,monza,22.0,2.0,906.9294444444431,64.06583333333208
2018,33,max_verstappen,monza,23.0,2.0,932.6236111111148,59.965833333336946
2018,33,max_verstappen,monza,24.0,2.0,946.062222222221,49.54555555555419
2018,33,max_verstappen,monza,25.0,2.0,962.2036111111129,60.83083333333525
2018,33,max_verstappen,monza,26.0,3.0,224.9158333333371,-688.7449999999964
2018,33,max_verstappen,monza,27.0,6.0,136.23944444444624,-137.00666666666484
2018,33,max_verstappen,monza,28.0,6.0,29.603888888888832,-130.13472222222225
2018,33,max_verstappen,monza,29.0,4.0,1017.833333333333,982.7686111111108
2018,33,max_verstappen,monza,30.0,4.0,1068.4466666666722,123.00583333333884
2018,33,max_verstappen,monza,31.0,4.0,1133.5049999999992,96.90861111111053
2018,33,max_verstappen,monza,32.0,4.0,1196.1250000000018,76.798333333335
2018,33,max_verstappen,monza,33.0,4.0,1203.5302777777733,9.504444444440878
2018,33,max_verstappen,monza,34.0,4.0,1159.7349999999997,-39.31694444444429
2018,33,max_verstappen,monza,35.0,4.0,1150.1200000000017,-14.692499999998745
2018,33,max_verstappen,monza,36.0,4.0,252.58305555554853,-898.1538888888958
2018,33,max_verstappen,monza,37.0,3.0,1131.1794444444404,924.9169444444404
2018,33,max_verstappen,monza,38.0,3.0,1117.3638888888854,-2.1852777777808114
2018,33,max_verstappen,monza,39.0,3.0,1102.584722222221,-6.575555555556093
2018,33,max_verstappen,monza,40.0,3.0,1094.941388888893,3.003333333337423
2018,33,max_verstappen,monza,41.0,3.0,1080.0627777777736,-2.362500000004502
2018,33,max_verstappen,monza,42.0,3.0,1054.4125000000013,-11.776666666665506
2018,33,max_verstappen,monza,43.0,3.0,1025.6469444444383,-15.41111111111718
2018,33,max_verstappen,monza,44.0,3.0,1023.9391666666679,9.347500000000764
2018,33,max_verstappen,monza,45.0,3.0,1025.0891666666666,43.5855555555554
2018,33,max_verstappen,monza,46.0,3.0,1006.834722222231,35.482777777786396
2018,33,max_verstappen,monza,47.0,3.0,1005.2480555555585,56.5250000000035
2018,33,max_verstappen,monza,48.0,3.0,956.7974999999951,27.928611111106648
2018,33,max_verstappen,monza,49.0,3.0,941.856944444442,41.43361111110869
2018,33,max_verstappen,monza,50.0,3.0,899.2158333333336,17.52694444444478
2018,33,max_verstappen,monza,51.0,3.0,829.0422222222187,-5.980555555559022
2018,33,max_verstappen,monza,52.0,3.0,676.5913888888836,-125.39694444444967
2018,33,max_verstappen,monza,53.0,3.0,375.64944444444427,-293.72
2018,31,ocon,monza,1.0,8.0,55.55416666665678,55.49833333332345
2018,31,ocon,monza,2.0,7.0,66.69055555555587,9.113611111111432
2018,31,ocon,monza,3.0,7.0,59.664166666676465,-7.44249999999019
2018,31,ocon,monza,4.0,7.0,65.35472222222052,8.664722222220512
2018,31,ocon,monza,5.0,7.0,123.94750000000113,57.302777777778886
2018,31,ocon,monza,6.0,7.0,113.30166666666537,-5.541666666667965
2018,31,ocon,monza,7.0,7.0,104.02055555555853,-6.67361111110813
2018,31,ocon,monza,8.0,7.0,107.51805555555984,8.750277777782031
2018,31,ocon,monza,9.0,7.0,94.54472222222375,-8.142777777776232
2018,31,ocon,monza,10.0,7.0,75.22944444444875,-7.77222222221792
2018,31,ocon,monza,11.0,7.0,71.76694444444456,6.1030555555556845
2018,31,ocon,monza,12.0,7.0,72.80972222222317,11.353888888889827
2018,31,ocon,monza,13.0,7.0,53.71611111111906,-4.788611111103151
2018,31,ocon,monza,14.0,6.0,252.9175000000041,213.5850000000041
2018,31,ocon,monza,15.0,6.0,228.48333333332812,-11.984722222227504
2018,31,ocon,monza,16.0,6.0,174.8399999999965,-32.178611111114634
2018,31,ocon,monza,17.0,6.0,172.75777777777876,11.578611111112082
2018,31,ocon,monza,18.0,6.0,152.61083333333227,4.328055555554471
2018,31,ocon,monza,19.0,6.0,167.0883333333295,32.45611111110733
2018,31,ocon,monza,20.0,6.0,155.51999999999862,9.50944444444309
2018,31,ocon,monza,21.0,6.0,138.91138888889418,3.0508333333385735
2018,31,ocon,monza,22.0,6.0,139.15388888888538,17.75249999999646
2018,31,ocon,monza,23.0,5.0,830.5124999999944,702.1777777777721
